,Return,Volatility,Sharpe,Weights
43,0.24029678842586447,0.25159566742346867,0.8358521852918367,"[0.23497981 0.23939245 0.02047159 0.05141143 0.17625344 0.15124173
 0.12624955]"
44,0.23197691967033043,0.251047580283238,0.8045364127487513,"[0.00886073 0.18926309 0.01408318 0.20540609 0.26678536 0.23565755
 0.079944  ]"
45,0.29625284065772,0.24442633282926346,1.0892968755690609,"[0.11331602 0.2473886  0.10075079 0.01576778 0.1163058  0.15799365
 0.24847738]"
46,0.228226785215042,0.23206999542842668,0.8541680920409103,"[0.17919386 0.04076727 0.02845226 0.18410855 0.2258457  0.27898644
 0.06264592]"
47,0.22445564129080633,0.23441695368961274,0.8295289151666118,"[0.21946698 0.12790265 0.07506596 0.06928401 0.19903629 0.28738587
 0.02185824]"
48,0.26414731091495997,0.22861497132147607,1.0241993757517498,"[0.13286569 0.11718828 0.11184843 0.01329268 0.18203631 0.35837536
 0.08439326]"
49,0.24596470681096166,0.20559289134650816,1.0504483175294848,"[0.12141751 0.01499214 0.22554375 0.2320833  0.07217989 0.19595077
 0.13783264]"
50,0.25325624574958117,0.23738101142487958,0.940497491393627,"[0.24136149 0.04618817 0.15247578 0.17546329 0.21305559 0.14698798
 0.02446769]"
51,0.3027574998065129,0.243072188269519,1.122125495920902,"[0.168202   0.15650388 0.19793004 0.12637497 0.15383043 0.03503733
 0.16212135]"
52,0.24057565385094895,0.23435726817677538,0.8985241016383243,"[0.16731896 0.16805742 0.12231309 0.15834243 0.16097121 0.12501389
 0.097983  ]"
53,0.20912948506536022,0.23962843874303505,0.7475301596295475,"[0.05147688 0.24838985 0.07918445 0.13253442 0.19564802 0.24777605
 0.04499033]"
54,0.36123718091466805,0.2475057769905746,1.3383008063172686,"[0.00963745 0.12909551 0.23529968 0.10792144 0.21348866 0.11029754
 0.19425972]"
55,0.3052639578576947,0.26601429049505204,1.034771317531209,"[0.14513788 0.10438493 0.08295466 0.03159758 0.32165576 0.27829899
 0.03597021]"
56,0.3624539484293468,0.22952102144432976,1.448468407544027,"[0.01644598 0.00281408 0.2592152  0.25912386 0.04527558 0.02382212
 0.39330318]"
57,0.30496916035826305,0.23120137428822415,1.1893059079115869,"[0.1676114  0.06315318 0.10669669 0.12757662 0.1645062  0.15827828
 0.21217764]"
58,0.23815220837081483,0.25441151094367115,0.8181713460948765,"[0.15694657 0.34048877 0.2982709  0.05177309 0.00883969 0.02341698
 0.120264  ]"
59,0.1556578060001535,0.21214533948770095,0.5923194273491851,"[0.04988061 0.11232021 0.04500768 0.36084271 0.08036668 0.20897705
 0.14260506]"
60,0.2173150061739522,0.23321245711345037,0.8031946856202002,"[0.02870797 0.17640793 0.07819676 0.24964203 0.18888379 0.18018278
 0.09797875]"
61,0.34940780233400176,0.22426024882357506,1.4242729329408665,"[0.03584667 0.04601803 0.30751916 0.17163271 0.04964335 0.08597495
 0.30336513]"
62,0.22187356985549517,0.2389955527435739,0.8028332228481363,"[0.22838322 0.25110435 0.24499488 0.02650894 0.09096106 0.14787706
 0.01017051]"
63,0.3398268413323501,0.258877822706382,1.1968071968982612,"[0.05245838 0.14539549 0.15589452 0.13914317 0.26059498 0.0812015
 0.16531196]"
64,0.30015383544341423,0.23710897759434182,1.139365696669686,"[0.15783745 0.10213118 0.08320341 0.16836225 0.15602348 0.084855
 0.24758723]"
65,0.22366227200097244,0.2349290681848017,0.8243435922907264,"[0.32184944 0.19136139 0.26746459 0.00649097 0.04575161 0.14430747
 0.02277453]"
66,0.228784825297193,0.23128019527709448,0.8594978271227716,"[0.18728133 0.19631254 0.11228547 0.13206467 0.11596482 0.13090393
 0.12518725]"
67,0.21547867650945257,0.235963517553145,0.7860481079143009,"[0.08715462 0.19570371 0.01942272 0.23361834 0.15864281 0.14270984
 0.16274796]"
68,0.1888243798999479,0.22043110138640112,0.7205171089788246,"[0.01247289 0.2192892  0.21065748 0.19607553 0.09845366 0.22994491
 0.03310632]"
69,0.22983518167311134,0.22034628136932483,0.9069142462094262,"[0.11086234 0.10323217 0.12198941 0.206807   0.1569581  0.20596278
 0.09418821]"
