Date,AAPL,META,GOOGL,MSFT,GFS,V,C
2025-08-01,0.1702390931632033,0.3982861442855918,0.23755007087664068,0.16664086723436553,0.3447410278656789,0.17549766861263538,0.24690809940102013
2025-08-04,0.15815328189204114,0.4032734144410633,0.21663323519369101,0.17321667410062352,0.344884108593403,0.1763571821130486,0.24683463624792767
2025-08-05,0.1581968566863313,0.4036179048990079,0.21367584431507947,0.17600883034602988,0.4329972244065972,0.17516782649241205,0.2484702842838256
2025-08-06,0.21452721405560057,0.4013981188405319,0.21340869449151478,0.17669728472512522,0.42755063983465985,0.1621524779040612,0.24316072493786128
2025-08-07,0.23088589348745228,0.4035098589466077,0.2066620073021489,0.1789945781473299,0.43448219088877477,0.1666077781963943,0.24354084066167153
2025-08-08,0.25664570095159633,0.3988030023399796,0.21206420692422023,0.1771467645758963,0.4336645244431766,0.17223188926466684,0.2410263025520238
2025-08-11,0.25910545626799564,0.39848263078734897,0.20065696342970984,0.17671542222860778,0.43576913383080484,0.17047795694559392,0.24196490600529302
2025-08-12,0.2554204400734108,0.4076070346969309,0.19520268812722466,0.18041578073998749,0.454616113456251,0.16095057924504458,0.26076861102989324
2025-08-13,0.25652764234608916,0.4015011740711202,0.1970824608121733,0.18456817167631104,0.4466226725880989,0.16990333622886294,0.2630796384768556
2025-08-14,0.25121066786286306,0.40018414320955914,0.19419531210405083,0.18425431017226582,0.44627506220172847,0.17202539182710205,0.26342399998640126
2025-08-15,0.25227425843814166,0.39998551857270837,0.19418936380499593,0.18051508594377705,0.4450974386546825,0.1670421218773591,0.26455003962159895
2025-08-18,0.2459834845567684,0.40689712874763506,0.18619370302340604,0.18147557978786144,0.4486178557672905,0.1667771586386014,0.2609473842468998
2025-08-19,0.24621778753832035,0.4124043395048521,0.18289247988861074,0.1867443975745332,0.39068563223382063,0.1661949569927642,0.25036867064706564
2025-08-20,0.2549508832287533,0.41030590359891905,0.186981832071616,0.1843014874182096,0.38978869626728746,0.16425086322804772,0.2518635982408721
2025-08-21,0.2555823622330011,0.41118399469855066,0.18700417424581178,0.18392382050319486,0.3882294545719936,0.16380434734703095,0.25063864226259464
