,Date,Portfolio,Benchmark,Beta
404,2025-05-22,Max Sharpe Portfolio,VOO,1.106262861252709
405,2025-05-23,Max Sharpe Portfolio,VOO,1.1136794184683818
406,2025-05-27,Max Sharpe Portfolio,VOO,1.1042686640745685
407,2025-05-28,Max Sharpe Portfolio,VOO,1.135928804422586
408,2025-05-29,Max Sharpe Portfolio,VOO,1.127833575431221
409,2025-05-30,Max Sharpe Portfolio,VOO,1.128865950513337
410,2025-06-02,Max Sharpe Portfolio,VOO,1.1054208369459086
411,2025-06-03,Max Sharpe Portfolio,VOO,1.100400031690444
412,2025-06-04,Max Sharpe Portfolio,VOO,1.1724216596764734
413,2025-06-05,Max Sharpe Portfolio,VOO,1.1733938717174157
414,2025-06-06,Max Sharpe Portfolio,VOO,1.1202608986968103
415,2025-06-09,Max Sharpe Portfolio,VOO,1.1318979159284994
416,2025-06-10,Max Sharpe Portfolio,VOO,1.1275768301685467
417,2025-06-11,Max Sharpe Portfolio,VOO,1.1242452656272206
418,2025-06-12,Max Sharpe Portfolio,VOO,1.131992027465316
419,2025-06-13,Max Sharpe Portfolio,VOO,1.1223206482170371
420,2025-06-16,Max Sharpe Portfolio,VOO,1.1612358857009153
421,2025-06-17,Max Sharpe Portfolio,VOO,1.1412593418482198
422,2025-06-18,Max Sharpe Portfolio,VOO,1.1482650460216557
423,2025-06-20,Max Sharpe Portfolio,VOO,1.1532895824774114
424,2025-06-23,Max Sharpe Portfolio,VOO,1.2039014706901774
425,2025-06-24,Max Sharpe Portfolio,VOO,1.1607118844482267
426,2025-06-25,Max Sharpe Portfolio,VOO,1.1688665240967877
427,2025-06-26,Max Sharpe Portfolio,VOO,1.0822721204233345
428,2025-06-27,Max Sharpe Portfolio,VOO,1.1063845826960723
429,2025-06-30,Max Sharpe Portfolio,VOO,1.1198974867046882
430,2025-07-01,Max Sharpe Portfolio,VOO,1.1200217721606547
431,2025-07-02,Max Sharpe Portfolio,VOO,1.1230370717024996
432,2025-07-03,Max Sharpe Portfolio,VOO,1.128227362045806
433,2025-07-07,Max Sharpe Portfolio,VOO,1.119286609148656
434,2025-07-08,Max Sharpe Portfolio,VOO,1.305887580016871
435,2025-07-09,Max Sharpe Portfolio,VOO,1.3299826878911487
436,2025-07-10,Max Sharpe Portfolio,VOO,1.3112435669415292
437,2025-07-11,Max Sharpe Portfolio,VOO,1.3113812461002874
438,2025-07-14,Max Sharpe Portfolio,VOO,1.2997560520632463
439,2025-07-15,Max Sharpe Portfolio,VOO,1.3048498462962979
440,2025-07-16,Max Sharpe Portfolio,VOO,1.1825790127883418
441,2025-07-17,Max Sharpe Portfolio,VOO,1.216560458806341
442,2025-07-18,Max Sharpe Portfolio,VOO,1.2784471586424764
443,2025-07-21,Max Sharpe Portfolio,VOO,1.2848741075348131
444,2025-07-22,Max Sharpe Portfolio,VOO,1.3190904584754468
445,2025-07-23,Max Sharpe Portfolio,VOO,1.2311155143902084
446,2025-07-24,Max Sharpe Portfolio,VOO,1.194755743375501
447,2025-07-25,Max Sharpe Portfolio,VOO,1.1980769213887328
448,2025-07-28,Max Sharpe Portfolio,VOO,1.1941194127624253
449,2025-07-29,Max Sharpe Portfolio,VOO,1.2269502308435762
450,2025-07-30,Max Sharpe Portfolio,VOO,1.1009163713633452
451,2025-07-31,Max Sharpe Portfolio,VOO,1.0410165059525303
452,2025-08-01,Max Sharpe Portfolio,VOO,1.1920751935475469
453,2025-08-04,Max Sharpe Portfolio,VOO,1.1818203283143631
454,2025-08-05,Max Sharpe Portfolio,VOO,1.0979683896097963
455,2025-08-06,Max Sharpe Portfolio,VOO,1.2201785412270723
456,2025-08-07,Max Sharpe Portfolio,VOO,1.199634116774932
457,2025-08-08,Max Sharpe Portfolio,VOO,1.224907402549182
458,2025-08-11,Max Sharpe Portfolio,VOO,1.2439722925668544
459,2025-08-12,Max Sharpe Portfolio,VOO,1.2390190531071783
460,2025-08-13,Max Sharpe Portfolio,VOO,1.3364879465331634
461,2025-08-14,Max Sharpe Portfolio,VOO,1.3260183466105806
462,2025-08-15,Max Sharpe Portfolio,VOO,1.3156737596906054
463,2025-08-18,Max Sharpe Portfolio,VOO,1.3257726476942102
464,2025-08-19,Max Sharpe Portfolio,VOO,1.288498943436155
465,2025-08-20,Max Sharpe Portfolio,VOO,1.2819297036629063
466,2025-08-21,Max Sharpe Portfolio,VOO,1.3142362458744703
467,2025-08-22,Max Sharpe Portfolio,VOO,1.3038283745020962
468,2025-08-25,Max Sharpe Portfolio,VOO,1.4281624763749954
469,2025-08-26,Max Sharpe Portfolio,VOO,1.3945358956570015
470,2025-08-27,Max Sharpe Portfolio,VOO,1.4625651379050921
